rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama
2533.8,2628.7,100.88,99.08,1282.65,991.89,285.0,400670,901.0,10.0,15.0,0.01,1.71
2386.2,2791.3,100.88,99.08,1282.65,991.89,285.0,400670,901.0,15.0,10.0,0.01,0.5
2533.8,2791.3,100.88,99.08,1282.65,991.89,285.0,377330,925.0,10.0,10.0,0.01,2.98
2386.2,2628.7,107.2,99.08,1282.65,991.89,285.0,400670,925.0,10.0,10.0,0.02,5.46
2533.8,2628.7,107.2,99.08,1282.65,991.89,285.0,377330,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,107.2,99.08,1282.65,991.89,285.0,377330,901.0,10.0,15.0,0.02,0.53
2533.8,2791.3,107.2,99.08,1282.65,991.89,285.0,400670,925.0,15.0,15.0,0.02,6.3
2386.2,2628.7,100.88,93.31,1207.94,934.11,298.0,377330,901.0,10.0,10.0,0.01,2.92
2533.8,2628.7,100.88,93.31,1207.94,934.11,298.0,400670,925.0,15.0,10.0,0.01,0.92
2386.2,2791.3,100.88,93.31,1207.94,934.11,298.0,400670,925.0,10.0,15.0,0.01,0.08
2533.8,2791.3,100.88,93.31,1207.94,934.11,298.0,377330,901.0,15.0,15.0,0.01,3.36
2386.2,2628.7,107.2,93.31,1207.94,934.11,298.0,400670,901.0,15.0,15.0,0.02,6.17
2533.8,2628.7,107.2,93.31,1207.94,934.11,298.0,377330,925.0,10.0,15.0,0.02,0.0
2386.2,2791.3,107.2,93.31,1207.94,934.11,298.0,377330,925.0,15.0,10.0,0.02,0.57
2533.8,2791.3,107.2,93.31,1207.94,934.11,298.0,400670,901.0,10.0,10.0,0.02,5.91
2386.2,2628.7,100.88,99.08,1207.94,934.11,298.0,377330,925.0,10.0,10.0,0.02,5.19
2533.8,2628.7,100.88,99.08,1207.94,934.11,298.0,400670,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,100.88,99.08,1207.94,934.11,298.0,400670,901.0,10.0,15.0,0.02,0.01
2533.8,2791.3,100.88,99.08,1207.94,934.11,298.0,377330,925.0,15.0,15.0,0.02,6.0
2386.2,2628.7,107.2,99.08,1207.94,934.11,298.0,400670,925.0,15.0,15.0,0.01,3.17
2533.8,2628.7,107.2,99.08,1207.94,934.11,298.0,377330,901.0,10.0,15.0,0.01,0.65
2386.2,2791.3,107.2,99.08,1207.94,934.11,298.0,377330,901.0,15.0,10.0,0.01,0.0
2533.8,2791.3,107.2,99.08,1207.94,934.11,298.0,400670,925.0,10.0,10.0,0.01,3.04
2386.2,2628.7,100.88,93.31,1282.65,934.11,298.0,377330,901.0,15.0,10.0,0.02,0.0
2533.8,2628.7,100.88,93.31,1282.65,934.11,298.0,400670,925.0,10.0,10.0,0.02,9.4
2386.2,2791.3,100.88,93.31,1282.65,934.11,298.0,400670,925.0,15.0,15.0,0.02,5.04
2533.8,2791.3,100.88,93.31,1282.65,934.11,298.0,377330,901.0,10.0,15.0,0.02,0.0
