rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama
2533.8,2791.3,107.2,93.31,1282.65,991.89,285.0,400670.0,901.0,10.0,15.0,0.01,0.36
2386.2,2628.7,100.88,99.08,1282.65,991.89,285.0,377330.0,901.0,10.0,10.0,0.01,2.83
2533.8,2628.7,100.88,99.08,1282.65,991.89,285.0,400670.0,925.0,10.0,15.0,0.01,1.72
2386.2,2791.3,100.88,99.08,1282.65,991.89,285.0,377330.0,925.0,15.0,15.0,0.01,2.51
2533.8,2791.3,100.88,99.08,1282.65,991.89,285.0,400670.0,901.0,15.0,10.0,0.01,0.88
2386.2,2628.7,107.2,99.08,1282.65,991.89,285.0,400670.0,925.0,15.0,10.0,0.02,0.0
2533.8,2628.7,107.2,99.08,1282.65,991.89,285.0,377330.0,901.0,15.0,15.0,0.02,9.52
2386.2,2791.3,107.2,99.08,1282.65,991.89,285.0,400670.0,901.0,10.0,15.0,0.02,0.12
2533.8,2791.3,107.2,99.08,1282.65,991.89,285.0,377330.0,925.0,10.0,10.0,0.02,5.5
2386.2,2628.7,100.88,93.31,1207.94,934.11,298.0,377330.0,925.0,10.0,10.0,0.02,5.42
2533.8,2628.7,100.88,93.31,1207.94,934.11,298.0,400670.0,901.0,10.0,15.0,0.02,0.01
2386.2,2791.3,100.88,93.31,1207.94,934.11,298.0,377330.0,901.0,15.0,15.0,0.02,4.82
2533.8,2791.3,100.88,93.31,1207.94,934.11,298.0,400670.0,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,107.2,93.31,1207.94,934.11,298.0,400670.0,901.0,15.0,10.0,0.01,0.07
2533.8,2628.7,107.2,93.31,1207.94,934.11,298.0,377330.0,925.0,15.0,15.0,0.01,5.25
2386.2,2791.3,107.2,93.31,1207.94,934.11,298.0,400670.0,925.0,10.0,15.0,0.01,0.0
2533.8,2791.3,107.2,93.31,1207.94,934.11,298.0,377330.0,901.0,10.0,10.0,0.01,3.05
2386.2,2628.7,100.88,99.08,1207.94,934.11,298.0,400670.0,901.0,10.0,15.0,0.01,0.54
2533.8,2628.7,100.88,99.08,1207.94,934.11,298.0,377330.0,925.0,10.0,10.0,0.01,4.63
2386.2,2791.3,100.88,99.08,1207.94,934.11,298.0,400670.0,925.0,15.0,10.0,0.01,0.27
2533.8,2791.3,100.88,99.08,1207.94,934.11,298.0,377330.0,901.0,15.0,15.0,0.01,3.21
2386.2,2628.7,107.2,99.08,1207.94,934.11,298.0,377330.0,925.0,15.0,15.0,0.02,5.66
2533.8,2628.7,107.2,99.08,1207.94,934.11,298.0,400670.0,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,107.2,99.08,1207.94,934.11,298.0,377330.0,901.0,10.0,10.0,0.02,4.17
2533.8,2791.3,107.2,99.08,1207.94,934.11,298.0,400670.0,925.0,10.0,15.0,0.02,0.0
2386.2,2628.7,100.88,93.31,1282.65,934.11,298.0,377330.0,925.0,10.0,15.0,0.01,0.25
2533.8,2628.7,100.88,93.31,1282.65,934.11,298.0,400670.0,901.0,10.0,10.0,0.01,5.05
2386.2,2791.3,100.88,93.31,1282.65,934.11,298.0,377330.0,901.0,15.0,10.0,0.01,0.04
2533.8,2791.3,100.88,93.31,1282.65,934.11,298.0,400670.0,925.0,15.0,15.0,0.01,3.51
2386.2,2628.7,107.2,93.31,1282.65,934.11,298.0,400670.0,901.0,15.0,15.0,0.02,6.18
2533.8,2628.7,107.2,93.31,1282.65,934.11,298.0,377330.0,925.0,15.0,10.0,0.02,0.0
2386.2,2791.3,107.2,93.31,1282.65,934.11,298.0,400670.0,925.0,10.0,10.0,0.02,4.55
2533.8,2791.3,107.2,93.31,1282.65,934.11,298.0,377330.0,901.0,10.0,15.0,0.02,0.08
2386.2,2628.7,100.88,99.08,1282.65,934.11,298.0,400670.0,901.0,10.0,10.0,0.02,5.43
2533.8,2628.7,100.88,99.08,1282.65,934.11,298.0,377330.0,925.0,10.0,15.0,0.02,0.01
2386.2,2791.3,100.88,99.08,1282.65,934.11,298.0,400670.0,925.0,15.0,15.0,0.02,4.82
2533.8,2791.3,100.88,99.08,1282.65,934.11,298.0,377330.0,901.0,15.0,10.0,0.02,0.0
2386.2,2628.7,107.2,99.08,1282.65,934.11,298.0,377330.0,925.0,15.0,10.0,0.01,0.25
